Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
624,1811.076684,1811.532143,2184.790075,2259.574982,448.4982982,0,341.9955121,71.27231064,0.455459379,31.26242013,3.51259596,0,23,24,23,4,0,3,2,0
608,1759.915829,1777.697622,2153.527655,2256.062386,496.1465564,0,375.8300334,64.21286548,17.78179215,0,38.3218653,0,26,25,25,5,0,3,2,0
369,1007.085087,1067.221155,1404.54283,1494.564155,487.4790683,42.35501932,337.3216748,78.31286404,17.78104905,0,11.70846104,5,27,0,0,7,0,0,0,1
617,1792.968888,1794.67497,2189.247592,2248.420048,455.4511595,0,351.0904797,57.82208433,1.706082137,43.48214228,1.350371052,0,24,25,24,3,0,4,0,0
613,1782.395577,1788.932952,2145.76545,2247.069677,464.6740995,0,356.8324983,84.76565586,6.537374545,0,16.53857076,0,24,26,26,5,0,4,0,0
372,1015.694815,1072.739397,1418.545109,1498.181471,482.4866554,39.23622152,331.8034326,76.01904595,17.80836054,14.00227912,3.617315697,5,28,0,0,6,0,0,0,1
610,1766.580127,1792.220681,2232.107202,2239.171512,472.5913856,0,410.1813264,0,25.64055436,29.70519478,7.064310045,0,26,26,25,2,0,7,1,0
605,1739.841691,1744.801289,2145.76545,2230.531106,490.6894153,0,398.7130925,71.36526235,4.959598498,2.251068448,13.40039351,0,27,27,26,4,0,4,0,0
375,1023.114967,1081.588161,1436.099979,1503.217396,480.1024291,44.10618833,343.9840605,63.72650111,14.3670061,10.52775774,3.390915275,6,29,0,0,7,0,0,0,1
376,1028.220385,1078.535288,1425.572222,1499.82648,471.6060957,44.5190125,340.0098206,72.609249,5.795891142,7.027112653,1.645009848,6,29,0,0,7,0,0,0,1
377,1035.920596,1089.348804,1441.35234,1544.182882,508.2622862,42.61469272,351.0035368,71.56281066,10.81351516,0,31.26773081,6,30,0,0,8,0,0,0,1
378,1037.78296,1081.74498,1440.35234,1512.915151,475.1321906,43.80520059,354.3549997,62.86505533,0.156818606,4.252361049,9.697755326,6,30,0,0,8,0,0,0,1
379,1052.881732,1141.87491,1476.255223,1549.458012,496.5762802,28.86324795,322.5213822,72.74643067,5.129929841,11.85893154,0.456357951,5,30,0,0,8,0,0,0,1
600,1723.74164,1744.297847,2153.527655,2217.740521,493.9988808,0,358.3742521,62.66581194,20.55620683,50.85555641,1.54705354,0,26,26,26,5,0,2,2,0
603,1729.954103,1732.835638,2143.514382,2217.130713,487.1766096,0,393.3321236,59.38037612,2.88153512,17.34662006,14.23595468,0,26,26,26,3,0,4,0,0
382,1059.062433,1137.876801,1464.396292,1549.001654,489.9392205,30.28637012,303.4755397,79.78659011,0.527997145,7.043951361,4.818772106,5,30,0,0,7,0,0,0,1
383,1059.833883,1153.6889,1480.159574,1570.213379,510.3794962,78.04291768,322.5663232,69.29843831,12.81209938,0.904350316,20.75536729,6,30,0,0,8,0,0,0,1
586,1682.706814,1692.208884,2102.672099,2216.193467,533.4866534,0,409.2709818,97.43152097,9.502069972,1.19223322,16.08984738,0,27,26,27,2,0,6,2,0
385,1061.13876,1175.406741,1498.777654,1589.166252,528.0274923,80.73614991,316.0497425,79.22715919,3.531831589,3.32117056,11.16143857,7,30,0,0,7,0,0,0,1
386,1067.588176,1172.928286,1491.456484,1578.004813,510.4166374,86.10072422,307.231288,78.75689564,1.23938547,8.296909964,7.791434109,7,30,0,0,8,0,0,0,1
607,1759.88457,1763.338902,2202.402008,2205.735057,445.8504863,0,409.1741326,0,3.454332209,29.88897247,3.333049006,0,26,25,25,5,0,4,1,0
599,1722.464944,1730.314653,2126.167762,2202.894758,480.429814,0,385.4576344,58.93655274,7.849708784,10.39547464,17.79044344,0,26,26,26,3,0,5,0,0
583,1679.311144,1680.616986,2101.479865,2200.10362,520.7924751,0,410.7061937,68.11271861,1.305841678,10.15668554,30.51103558,0,27,27,26,2,0,5,2,0
390,1083.503103,1212.315736,1512.477781,1606.804939,523.301836,89.42518273,289.8131871,78.48728836,0.387450788,10.34885781,15.83986921,4,30,0,0,7,0,0,0,1
594,1710.16344,1711.166533,2115.772287,2185.104314,474.9408746,0,397.7975101,42.96964134,1.003093456,6.808243656,26.36238604,0,25,25,26,3,1,7,0,0
392,1087.22275,1203.510374,1502.128923,1590.96507,503.7423201,88.18399157,295.26728,87.03732844,0.103633004,3.351269313,1.798817727,5,30,0,0,7,0,0,0,1
595,1710.288238,1731.417947,2172.513035,2178.764564,468.4763262,0,407.682073,0,21.12970947,33.41301494,6.251528767,0,25,25,26,4,0,3,1,0
572,1642.674569,1655.650053,2091.32318,2169.592584,526.918015,0,431.0885519,61.77620379,12.97548414,4.584574782,16.49320036,0,27,26,26,2,0,5,2,0
395,1113.676506,1222.350228,1528.08509,1610.089847,496.413341,89.83386806,290.1275534,78.71984878,10.83985369,15.60730878,3.284908213,5,30,0,0,7,0,0,0,1
573,1646.671475,1674.919816,2108.964043,2158.741928,512.0704535,0,434.0442272,42.19045675,28.24834127,0,7.587428246,0,27,26,26,2,0,7,0,0
397,1122.504289,1233.327429,1534.261402,1614.478688,491.9743991,89.81144713,294.7576609,75.82844548,14.0116928,6.17631151,4.388841246,6,30,0,0,8,0,0,0,1
398,1128.981423,1260.107771,1563.541331,1632.128165,503.1467416,93.36880473,301.5044642,56.09040529,18.75754318,1.929096266,12.49642785,7,30,0,0,8,0,0,0,1
564,1617.256982,1622.494652,2086.738605,2153.099384,535.8424014,0,451.9583013,60.1940373,5.237669579,12.2856519,6.166741276,0,27,27,26,2,0,4,2,0
400,1129.630446,1244.1198,1558.414749,1616.059452,486.4290065,103.6969834,290.1416017,56.06393974,2.792370686,14.15334699,1.580763947,8,30,0,0,6,0,0,0,1
582,1671.624822,1672.023737,2108.964043,2151.1545,479.5296779,0,424.516074,22.24352841,0.398914928,12.42423223,19.94692834,0,26,26,26,1,0,7,0,0
597,1712.712407,1718.685851,2139.10002,2149.424883,436.7124756,0,395.3267263,0,5.973443422,25.08744329,10.3248626,0,26,26,26,3,0,4,1,0
554,1589.269941,1607.591235,2074.452953,2146.932642,557.6627017,0,465.2266673,63.02429671,18.32129393,1.635051321,9.455392487,0,26,25,25,1,2,3,2,0
404,1143.300557,1253.129302,1561.612235,1619.631737,476.3311796,100.8192427,305.2854468,54.44721699,0.009501911,3.197486694,3.572284562,7,30,0,0,7,0,0,0,1
555,1597.712732,1598.97214,2072.817902,2137.47725,539.7645178,0,459.5608688,51.62476912,1.259408164,14.28489277,13.03457891,0,26,26,25,2,2,2,2,0
585,1681.529164,1717.748023,2114.012577,2135.733009,454.2038453,0,374.4475331,6.343128125,36.21885921,21.81702095,15.37730396,0,27,26,27,3,0,7,1,0
580,1667.359728,1668.713481,2096.539811,2131.207572,463.8478441,0,410.7256699,23.67079602,1.353753514,17.10066004,10.99696461,0,25,26,26,2,0,6,0,0
408,1153.289573,1265.486034,1581.971972,1640.129886,486.8403128,99.83972844,298.0552979,50.15619241,0.356731819,11.43064073,8.001721471,8,30,0,0,7,0,0,0,1
409,1156.62081,1283.424757,1599.479357,1657.854581,501.2337717,103.4869614,309.4998207,53.33939328,18.31698631,6.554778496,5.035831491,8,30,0,0,8,0,0,0,1
410,1156.709017,1274.728022,1588.876617,1650.85626,494.1472436,108.7770168,307.2439505,51.25326928,6.241988187,6.9046446,10.72637423,9,30,0,0,8,0,0,0,1
411,1159.749442,1278.912399,1592.924578,1652.81875,493.0693081,114.9785801,309.9642181,57.93168229,4.184376994,3.047961221,1.962489491,10,29,0,0,7,0,0,0,1
546,1554.327242,1557.837976,2058.533009,2124.442671,570.1154288,0,464.5809773,57.49788476,3.510733878,36.11405567,8.411777129,0,27,27,26,0,1,2,2,0
413,1163.467997,1291.111482,1607.479357,1675.328506,511.8605085,115.4444017,308.3678749,50.37522477,12.19908287,0,17.47392426,11,30,0,0,8,0,0,0,1
596,1710.525406,1712.197752,2092.195556,2120.355705,409.8302989,0,379.9978041,3.204861002,1.672345738,0,24.95528807,0,25,25,26,2,0,6,1,0
415,1164.669575,1311.77873,1623.742732,1702.789116,538.1195407,118.7551824,307.4000514,73.06187949,11.35397233,4.563951193,5.984503944,12,29,0,0,7,0,0,0,1
574,1647.852806,1664.374374,2079.439151,2120.210607,472.3578016,0,408.3451242,23.498082,16.52156827,6.719653045,17.27337406,0,27,26,26,1,1,4,0,0
537,1521.602014,1547.59083,2022.418953,2116.030894,594.4288801,3.587488828,467.5492838,76.14014885,22.40132707,7.278839968,17.47179158,0,27,26,26,2,0,2,2,0
561,1613.694465,1622.943697,2072.719498,2102.937233,489.2427678,0,449.7758006,25.03789964,9.249232174,0,5.179835404,0,25,27,26,1,2,2,0,0
531,1509.360918,1541.762055,2015.140113,2098.559102,589.1981844,0,473.3780584,53.40634495,32.40113716,0,30.01264387,0,26,26,25,3,0,2,2,0
562,1615.178095,1616.092677,2072.719498,2097.757398,482.5793027,0,442.8779121,0.492177648,0.91458155,13.74890943,24.54572199,0,25,27,26,0,2,2,0,0
587,1697.261941,1705.136551,2092.195556,2095.400417,398.1384761,0,372.1849892,0,7.874610109,14.87401574,3.204861002,0,27,27,27,2,0,6,1,0
422,1187.872972,1302.206761,1616.212408,1680.268597,492.3956257,103.23851,305.2725951,59.11609804,1.09527985,5.733050998,4.94009182,11,29,0,0,6,0,0,0,1
423,1192.068754,1309.06922,1619.178781,1696.804612,504.7358576,110.1380073,307.1431877,61.08981637,6.862458321,2.966373487,16.53601431,12,30,0,0,7,0,0,0,1
579,1666.382222,1688.886138,2077.32154,2084.688058,418.3058364,0,375.9622668,6.239282875,22.50391615,12.4731353,1.127235347,0,25,26,26,1,2,4,1,0
425,1193.03704,1315.661338,1631.635574,1708.000779,514.9637382,116.0321793,308.0813939,71.15354181,4.59211853,7.892841621,5.211663038,13,30,0,0,8,0,0,0,1
